term;term.soort;term.status;bron;term.nummer;scope_note
incubator;objectnaam;niet gedefinieerd;"";"";""
Villingen-Schwenningen;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7013257;""
Murten;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7007425;""
condensator;objectnaam;descriptor;http://vocab.getty.edu/aat/$http://www.wikidata.org/entity/;300052176$Q607569;""
titreerapparaat;objectnaam;niet gedefinieerd;"";"";""
buret;objectnaam;niet gedefinieerd;"";"";""
reageerbuis;objectnaam;descriptor;http://vocab.getty.edu/aat/;300237664;""
kolfhouder;objectnaam;niet gedefinieerd;"";"";""
peligotbuis;objectnaam;niet gedefinieerd;"";"";""
omgevingsfles;objectnaam;descriptor;https://www.wikidata.org/entity/;Q201554;""
distilleerkolom;objectnaam;niet gedefinieerd;"";"";""
bad;objectnaam;non-descriptor;"";"";""
injectienaald;objectnaam;descriptor;https://www.wikidata.org/entity/;Q1165892;""
doorstromer;objectnaam;descriptor;"";"";""
sedimeter;objectnaam;niet gedefinieerd;"";"";""
dessicator;objectnaam;niet gedefinieerd;"";"";""
bariumsulfaat;objectnaam;descriptor;https://www.wikidata.org/entity/;Q309038;""
weerszijden handvat;inscriptie positie;niet gedefinieerd;"";"";""
duikpak;objectnaam$motief$onderwerp;descriptor;https://www.wikidata.org/entity/;Q13450335;""
Issy-les-Moulineaux;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7018815;""
trapspinnewiel;objectnaam;descriptor;"";"";""
vleugelspinnewiel;objectnaam;descriptor;"";"";""
stroboscoop;objectnaam;descriptor;https://www.wikidata.org/entity/;Q178873;""
Peseux;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1064292;""
Brussel;plaats$geografisch trefwoord;non-descriptor;http://vocab.getty.edu/tgn/;7007868;""
registratierol;inscriptie positie$objectnaam;niet gedefinieerd;"";"";""
ontsmettingsinstallatie;objectnaam;kandidaat;"";"";""
engine indicator;objectnaam;non-descriptor;"";"";""
gasanalysator;objectnaam;descriptor;"";"";""
bovenkant toestel;inscriptie positie;kandidaat;"";"";""
meettoestellen voor vochtigheid;objectcategorie;niet gedefinieerd;"";"";""
veiligheidsrelais;objectnaam;descriptor;"";"";""
Sussex;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7008133;""
Crawley;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;1028966;""
bovenzijde beschermkap;inscriptie positie;kandidaat;"";"";""
Steenhuffel;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7254772;""
Hingene;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;4005039;""
Tielrode;geografisch trefwoord$plaats;descriptor;http://vocab.getty.edu/tgn/;7254732;""
cassettespeler;objectnaam;descriptor;http://vocab.getty.edu/aat/;300411344;""
